cluster,token,τ,Φ,order
0,attractor,25,0.759499133,0
0,attractor,26,0.8270576,1
0,attractor,28,0.564073861,2
0,attractor,53,0.767633736,3
0,attractor,55,0.818779111,4
0,attractor,56,0.759499133,5
0,attractor,63,0.831518888,6
0,attractor,77,0.816895604,7
0,attractor,105,0.903608918,8
0,attractor,106,0.86693722,9
1,attractor,23,0.94825381,0
1,attractor,25,0.945589364,1
1,attractor,26,0.945589364,2
1,attractor,52,0.88713485,3
1,attractor,52,0.866375685,4
1,attractor,52,0.918990076,5
1,attractor,52,0.815003514,6
1,attractor,52,0.932042837,7
1,attractor,52,0.932042837,8
1,attractor,52,0.932042837,9
2,attractor,52,0.907406926,0
2,attractor,52,0.927440941,1
2,attractor,52,0.916376173,2
2,attractor,52,0.83610636,3
2,attractor,52,0.907406926,4
2,attractor,52,0.927440941,5
2,attractor,52,0.916376173,6
3,attractor,52,0.834051311,0
3,attractor,52,0.803791285,1
3,attractor,52,0.851869643,2
3,attractor,52,0.926009059,3
3,attractor,52,0.848646164,4
3,attractor,52,0.892704904,5
3,attractor,52,0.893984318,6
3,attractor,52,0.850426674,7
3,attractor,52,0.840741336,8
3,attractor,52,0.760200679,9
4,attractor,25,0.810289681,0
4,attractor,26,0.525178194,1
4,attractor,52,0.793283999,2
4,attractor,52,0.855444729,3
4,attractor,52,0.818130434,4
4,attractor,52,0.818130434,5
4,attractor,52,0.818130434,6
4,attractor,52,0.790706456,7
4,attractor,52,0.767320573,8
4,attractor,52,0.789250851,9
5,attractor,52,0.916242063,0
5,attractor,52,0.948150754,1
5,attractor,52,0.977732241,2
5,attractor,52,0.978878796,3
5,attractor,52,0.977732241,4
5,attractor,52,0.978878796,5
0,attractors,25,0.817237914,0
0,attractors,52,0.813766599,1
0,attractors,52,0.902770936,2
0,attractors,52,0.900217116,3
0,attractors,52,0.900217116,4
0,attractors,56,0.82563448,5
0,attractors,211,0.834600627,6
0,attractors,262,0.902770936,7
1,attractors,52,0.704177618,0
1,attractors,52,0.769956291,1
1,attractors,52,0.797314346,2
1,attractors,52,0.781576574,3
1,attractors,52,0.798905373,4
1,attractors,52,0.798905373,5
1,attractors,52,0.764889896,6
1,attractors,52,0.806639731,7
1,attractors,52,0.769956291,8
1,attractors,52,0.797314346,9
0,average,25,0.853292942,0
0,average,25,0.885094166,1
0,average,26,0.85706538,2
0,average,26,0.916765928,3
0,average,56,0.853292942,4
0,average,56,0.885094166,5
0,average,85,0.79153198,6
0,average,147,0.85706538,7
0,average,147,0.916765928,8
1,average,25,0.793584824,0
1,average,34,0.775944471,1
1,average,53,0.922262728,2
1,average,53,0.896259964,3
1,average,53,0.828621805,4
1,average,56,0.793584824,5
1,average,63,0.906585097,6
1,average,63,0.881900907,7
1,average,63,0.765337467,8
1,average,73,0.73518306,9
0,basin,52,0.893054485,0
0,basin,52,0.891072333,1
0,basin,52,0.8747859,2
0,basin,52,0.842412829,3
0,basin,52,0.891072333,4
0,basin,52,0.875690937,5
0,basin,52,0.830549419,6
0,basin,52,0.861110866,7
0,basin,52,0.877849221,8
0,basin,196,0.899102628,9
1,basin,52,0.89759022,0
1,basin,52,0.903607666,1
1,basin,52,0.903607666,2
1,basin,52,0.905725121,3
1,basin,52,0.902048886,4
1,basin,52,0.838400424,5
1,basin,52,0.891156137,6
1,basin,52,0.8636958,7
1,basin,52,0.870267749,8
1,basin,52,0.806584358,9
0,because,23,0.575405657,0
0,because,52,0.430787444,1
0,because,52,0.584461749,2
0,because,52,0.643999815,3
0,because,52,0.605340421,4
0,because,52,0.675754011,5
0,because,52,0.619973719,6
0,because,52,0.619532645,7
0,because,52,0.430438578,8
0,because,52,0.445754498,9
1,because,52,0.703384101,0
1,because,52,0.751674533,1
1,because,52,0.630841911,2
1,because,52,0.501363516,3
1,because,52,0.703384101,4
1,because,52,0.751674533,5
1,because,52,0.582429528,6
0,becomes,20,0.555057883,0
0,becomes,52,0.839800298,1
0,becomes,52,0.839800298,2
0,becomes,214,0.758121848,3
0,becomes,277,0.710956037,4
1,becomes,52,0.672065496,0
1,becomes,52,0.701405823,1
1,becomes,52,0.747690976,2
1,becomes,52,0.841948926,3
1,becomes,52,0.841948926,4
1,becomes,212,0.760560989,5
0,between,52,0.684427559,0
0,between,125,0.765381873,1
0,between,129,0.833234072,2
0,between,132,0.765381873,3
0,between,132,0.833234072,4
0,between,133,0.805342257,5
0,between,211,0.747113287,6
0,between,211,0.748574018,7
1,between,26,0.677728891,0
1,between,52,0.776816666,1
1,between,52,0.790228069,2
1,between,52,0.846761525,3
1,between,52,0.713600039,4
1,between,52,0.790228069,5
1,between,52,0.846761525,6
1,between,147,0.677728891,7
2,between,52,0.826416731,0
2,between,52,0.792022169,1
2,between,52,0.74187398,2
2,between,52,0.793974161,3
2,between,52,0.836880803,4
2,between,52,0.898453295,5
2,between,52,0.811409593,6
2,between,52,0.793974161,7
2,between,52,0.836880803,8
2,between,52,0.898453295,9
3,between,24,0.852651,0
3,between,25,0.857025385,1
3,between,25,0.550870061,2
3,between,26,0.780395687,3
3,between,53,0.731933832,4
3,between,56,0.827863693,5
3,between,56,0.857025385,6
3,between,56,0.577675223,7
3,between,85,0.803216934,8
3,between,85,0.78213048,9
0,bigram,226,0.801986635,0
0,bigram,226,0.899623632,1
0,bigram,230,0.903418541,2
0,bigram,236,0.801986635,3
0,bigram,236,0.899623632,4
0,bigram,236,0.903418541,5
0,bigram,247,0.909666896,6
0,bigram,247,0.769308984,7
1,bigram,226,0.920745909,0
1,bigram,226,0.908282459,1
1,bigram,226,0.85726434,2
1,bigram,236,0.920745909,3
1,bigram,236,0.910361707,4
1,bigram,236,0.840455532,5
1,bigram,244,0.908255041,6
1,bigram,244,0.936691821,7
1,bigram,244,0.873060524,8
1,bigram,247,0.886913002,9
0,bin,28,0.887670398,0
0,bin,34,0.825962484,1
0,bin,36,0.799562633,2
0,bin,37,0.697431684,3
0,bin,49,0.900826335,4
0,bin,63,0.725918472,5
0,bin,67,0.723460317,6
0,bin,69,0.784838617,7
0,bin,73,0.887670398,8
0,bin,183,0.663024187,9
1,bin,36,0.875495791,0
1,bin,36,0.825986207,1
1,bin,36,0.878921509,2
1,bin,36,0.871517122,3
1,bin,36,0.576765418,4
1,bin,36,0.820472181,5
1,bin,36,0.795902431,6
1,bin,36,0.768415332,7
1,bin,36,0.742374182,8
1,bin,36,0.794346094,9
0,book,52,0.799293458,0
0,book,52,0.850384712,1
0,book,95,0.874670804,2
0,book,109,0.843194902,3
0,book,145,0.814470053,4
1,book,21,0.60138303,0
1,book,21,0.53640902,1
1,book,23,0.687860966,2
1,book,26,0.687860966,3
1,book,50,0.660759747,4
1,book,50,0.642658949,5
1,book,51,0.626278877,6
1,book,52,0.53394711,7
1,book,52,0.620358229,8
1,book,52,0.658402026,9
0,both,52,0.838319421,0
0,both,52,0.817416906,1
0,both,52,0.856092691,2
0,both,52,0.856092691,3
0,both,52,0.817416906,4
0,both,52,0.856092691,5
1,both,25,0.696044326,0
1,both,25,0.825442195,1
1,both,56,0.696044326,2
1,both,56,0.825442195,3
1,both,83,0.749458253,4
1,both,83,0.619355619,5
1,both,85,0.61756742,6
1,both,155,0.475990981,7
1,both,192,0.364230782,8
2,both,52,0.586095631,0
2,both,52,0.604636669,1
2,both,52,0.652896345,2
2,both,52,0.600827992,3
